Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,1,0,1,6900,0,1,0,8.6,8.8,9,31,1,4,0,0,0,0,282,301.0,1,3,1,-352.96000000000004
0,1,0,1,6900,0,1,0,8.6,8.8,9,49,1,5,0,0,0,0,282,301.0,1,3,1,-502.57
0,1,0,1,6900,0,1,0,8.6,8.8,9,49,1,1,0,0,0,1,282,301.0,1,4,1,-136.04000000000002
0,1,0,0,6900,0,1,0,8.6,8.8,7,59,1,2,0,0,0,0,282,301.0,1,4,1,-405.8399999999999
0,1,0,1,6900,0,1,0,8.6,8.8,6,50,1,3,0,0,0,0,282,301.0,1,4,1,-383.7900000000001
0,1,0,1,6900,0,1,0,8.6,8.8,5,49,1,4,0,0,0,0,282,301.0,1,4,1,-449.1700000000001
0,1,0,0,6900,0,1,0,8.6,8.8,3,89,1,1,0,0,0,0,282,301.0,1,5,1,-251.65
0,1,0,0,6900,0,1,0,8.6,8.8,4,89,1,2,0,0,0,0,282,301.0,1,5,1,-535.6000000000001
0,1,0,1,6900,0,1,0,8.6,8.8,4,8,1,3,0,0,0,0,282,301.0,1,5,1,-393.8699999999999
0,1,0,1,6900,0,1,0,8.6,8.8,7,31,1,4,0,0,0,0,282,301.0,1,5,1,-493.28
0,1,0,0,6900,0,1,0,8.6,8.8,4,49,1,1,0,0,0,1,282,301.0,1,6,1,-299.82000000000005
0,1,0,0,6900,0,1,0,8.6,8.8,3,59,1,2,0,0,0,0,282,301.0,1,6,1,-590.49
0,1,0,1,6900,0,1,0,8.6,8.8,4,50,1,3,0,0,0,1,282,301.0,1,6,1,-418.21
0,1,0,1,6900,0,1,0,8.6,8.8,6,30,1,4,0,0,0,0,282,301.0,1,6,1,-466.9100000000001
0,1,0,1,6900,0,1,0,8.6,8.8,6,30,1,5,0,0,0,0,282,301.0,1,6,1,-454.2399999999998
0,1,0,0,6900,0,1,0,8.6,8.8,3,50,1,1,0,0,0,0,282,301.0,1,7,1,-298.55000000000007
0,1,0,0,6900,0,1,0,8.6,8.8,4,58,1,2,0,0,0,1,282,301.0,1,7,1,-453.22
0,1,0,1,6900,0,1,0,8.6,8.8,6,30,1,3,0,0,0,0,282,301.0,1,7,1,-343.17999999999995
0,1,0,1,6900,0,1,0,8.6,8.8,6,30,1,4,0,0,0,0,282,301.0,1,7,1,-369.6699999999999
0,1,0,1,6900,0,1,0,8.6,8.8,5,30,1,5,0,0,0,0,282,301.0,1,7,1,-447.1700000000001
0,1,0,0,6900,0,1,0,8.6,8.8,5,50,1,1,0,0,0,1,282,301.0,1,8,1,-165.39999999999998
0,1,0,0,6900,0,1,0,8.6,8.8,6,58,1,2,0,0,0,0,282,301.0,1,8,1,-320.2599999999999
0,1,0,1,6900,0,1,0,8.6,8.8,6,31,1,3,0,0,0,0,282,301.0,1,8,1,-358.89999999999986
0,1,0,1,6900,0,1,0,8.6,8.8,5,31,1,4,0,0,0,0,282,301.0,1,8,1,-339.29
0,1,0,0,6900,0,1,0,8.6,8.8,5,31,1,1,0,0,0,0,282,301.0,1,9,1,-161.01000000000005
0,1,0,1,6900,0,1,0,8.6,8.8,6,31,1,2,0,0,0,0,282,301.0,1,9,1,-200.7299999999999
0,1,0,1,6900,0,1,0,8.6,8.8,5,30,1,3,0,0,0,0,282,301.0,1,9,1,-337.43000000000006
0,1,0,1,6900,0,1,0,8.6,8.8,4,31,1,4,0,0,0,0,282,301.0,1,9,1,-471.32
0,1,0,0,6900,0,1,0,8.6,8.8,7,49,1,1,0,0,0,0,282,301.0,1,10,1,-172.56
0,1,0,0,6900,0,1,0,8.6,8.8,8,50,1,2,0,0,0,0,282,301.0,1,10,1,-314.14999999999986
0,1,0,1,6900,0,1,0,8.6,8.8,8,49,1,3,0,0,0,0,282,301.0,1,10,1,-339.5999999999999
0,1,0,1,6900,0,1,0,8.6,8.8,6,49,1,4,0,0,0,0,282,301.0,1,10,1,-491.52
0,1,0,1,6900,0,1,0,8.6,8.8,13,58,1,5,0,0,0,0,282,301.0,1,10,1,-438.5499999999997
0,1,0,0,6900,0,1,0,8.6,8.8,8,49,1,1,0,0,0,1,282,301.0,1,11,1,-146.32000000000005
0,1,0,0,6900,0,1,0,8.6,8.8,10,90,1,2,0,0,0,1,282,301.0,1,11,1,-317.17999999999995
0,1,0,1,6900,0,1,0,8.6,8.8,8,58,1,3,0,0,0,0,282,301.0,1,11,1,-328.92999999999995
0,1,0,1,6900,0,1,0,8.6,8.8,4,58,1,4,0,0,0,0,282,301.0,1,11,1,-477.84000000000015
0,1,0,1,6900,0,1,0,8.6,8.8,4,89,1,5,0,0,0,0,282,301.0,1,11,1,-447.1700000000001
0,1,0,0,6900,0,1,0,8.6,8.8,12,50,1,1,0,0,0,1,282,301.0,1,12,1,-171.95999999999998
0,1,0,0,6900,0,1,0,8.6,8.8,12,90,1,2,0,0,0,1,282,301.0,1,12,1,-360.04999999999995
0,1,0,1,6900,0,1,0,8.6,8.8,6,58,1,3,0,0,0,0,282,301.0,1,12,1,-379.4000000000001
0,1,0,1,6900,0,1,0,8.6,8.8,2,50,1,4,0,0,0,0,282,301.0,1,12,1,-470.5999999999999
0,1,0,1,6900,0,1,0,8.6,8.8,9,59,1,5,0,0,0,0,282,301.0,1,12,1,-439.7000000000001
0,1,0,0,6900,0,1,0,8.6,8.8,13,59,1,1,0,0,0,1,282,301.0,1,13,1,-187.71000000000004
0,1,0,0,6900,0,1,0,8.6,8.8,13,89,1,2,0,0,0,0,282,301.0,1,13,1,-372.83
0,1,0,1,6900,0,1,0,8.6,8.8,4,59,1,3,0,0,0,0,282,301.0,1,13,1,-366.24
0,1,0,1,6900,0,1,0,8.6,8.8,10,31,1,4,0,0,0,0,282,301.0,1,13,1,-493.28
0,1,0,0,6900,0,1,0,8.6,8.8,11,50,0,1,0,0,0,1,282,301.0,1,14,1,-177.55
0,1,0,0,6900,0,1,0,8.6,8.8,7,50,0,2,0,0,0,0,282,301.0,1,14,1,-305.1099999999999
0,1,0,1,6900,0,1,0,8.6,8.8,6,49,1,3,0,0,0,0,282,301.0,1,14,1,-356.3799999999999
0,1,0,1,6900,0,1,0,8.6,8.8,7,31,1,4,0,0,0,0,282,301.0,1,14,1,-498.28
0,1,0,1,6900,0,1,0,8.6,8.8,6,49,1,5,0,0,0,0,282,301.0,1,14,1,-431.3800000000001
0,1,0,0,6900,0,1,0,8.6,8.8,5,31,0,1,0,0,0,1,282,301.0,1,15,1,-152.07
0,1,0,0,6900,0,1,0,8.6,8.8,8,50,0,2,0,0,0,0,282,301.0,1,15,1,-279.36
0,1,0,1,6900,0,1,0,8.6,8.8,7,31,1,3,0,0,0,0,282,301.0,1,15,1,-342.02999999999986
0,1,0,1,6900,0,1,0,8.6,8.8,6,31,1,4,0,0,0,0,282,301.0,1,15,1,-350.99
0,1,0,1,6900,0,1,0,8.6,8.8,6,49,1,5,0,0,0,0,282,301.0,1,15,1,-439.4500000000001
0,1,0,0,6900,0,1,0,8.6,8.8,5,8,0,1,0,0,0,0,282,301.0,1,16,1,-135.3
0,1,0,0,6900,0,1,0,8.6,8.8,5,58,0,2,0,0,0,0,282,301.0,1,16,1,-300.06999999999994
0,1,0,1,6900,0,1,0,8.6,8.8,5,49,1,3,0,0,0,0,282,301.0,1,16,1,-339.5999999999999
0,1,0,1,6900,0,1,0,8.6,8.8,7,31,1,4,0,0,0,0,282,301.0,1,16,1,-482.4100000000001
0,1,0,1,6900,0,1,0,8.6,8.8,9,49,1,5,0,0,0,0,282,301.0,1,16,1,-426.1400000000001
0,1,0,0,6900,0,1,0,8.6,8.8,6,30,0,1,0,0,0,0,282,301.0,1,17,1,-147.05000000000007
0,1,0,0,6900,0,1,0,8.6,8.8,6,58,0,2,0,0,0,0,282,301.0,1,17,1,-274.31999999999994
0,1,0,1,6900,0,1,0,8.6,8.8,8,50,1,3,0,0,0,0,282,301.0,1,17,1,-326.44999999999993
0,1,0,1,6900,0,1,0,8.6,8.8,8,31,1,4,0,0,0,0,282,301.0,1,17,1,-355.26
0,1,0,1,6900,0,1,0,8.6,8.8,7,50,1,5,0,0,0,0,282,301.0,1,17,1,-447.1700000000001
